	ENSG	name	description
ENSG00000033327.12	ENSG00000033327	GAB2	GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]
ENSG00000033627.15	ENSG00000033627	ATP6V0A1	ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]
ENSG00000033800.13	ENSG00000033800	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]
ENSG00000033867.16	ENSG00000033867	SLC4A7	solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]
ENSG00000034053.14	ENSG00000034053	APBA2	amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]
ENSG00000034152.18	ENSG00000034152	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]
ENSG00000034510.5	ENSG00000034510	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]
ENSG00000034533.11	ENSG00000034533	ASTE1	asteroid homolog 1 [Source:HGNC Symbol;Acc:HGNC:25021]
ENSG00000034677.12	ENSG00000034677	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]
ENSG00000034693.14	ENSG00000034693	PEX3	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]
ENSG00000034713.7	ENSG00000034713	GABARAPL2	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]
ENSG00000035115.21	ENSG00000035115	SH3YL1	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]
ENSG00000035141.7	ENSG00000035141	FAM136A	family with sequence similarity 136 member A [Source:HGNC Symbol;Acc:HGNC:25911]
ENSG00000035403.16	ENSG00000035403	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]
ENSG00000035499.12	ENSG00000035499	DEPDC1B	DEP domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24902]
ENSG00000035664.11	ENSG00000035664	DAPK2	death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]
ENSG00000035681.7	ENSG00000035681	NSMAF	neutral sphingomyelinase activation associated factor [Source:HGNC Symbol;Acc:HGNC:8017]
ENSG00000035687.9	ENSG00000035687	ADSS2	adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]
ENSG00000035862.12	ENSG00000035862	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]
ENSG00000035928.14	ENSG00000035928	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]
ENSG00000036054.12	ENSG00000036054	TBC1D23	TBC1 domain family member 23 [Source:HGNC Symbol;Acc:HGNC:25622]
ENSG00000036257.12	ENSG00000036257	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]
ENSG00000036448.9	ENSG00000036448	MYOM2	myomesin 2 [Source:HGNC Symbol;Acc:HGNC:7614]
ENSG00000036530.8	ENSG00000036530	CYP46A1	cytochrome P450 family 46 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2641]
ENSG00000036549.12	ENSG00000036549	ZZZ3	zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]
ENSG00000036672.15	ENSG00000036672	USP2	ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618]
ENSG00000037042.8	ENSG00000037042	TUBG2	tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]
ENSG00000037241.7	ENSG00000037241	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]
ENSG00000037280.15	ENSG00000037280	FLT4	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]
ENSG00000037474.14	ENSG00000037474	NSUN2	NOP2/Sun RNA methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:25994]
ENSG00000037637.10	ENSG00000037637	FBXO42	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]
ENSG00000037749.11	ENSG00000037749	MFAP3	microfibril associated protein 3 [Source:HGNC Symbol;Acc:HGNC:7034]
ENSG00000037757.13	ENSG00000037757	MRI1	methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:28469]
ENSG00000037897.16	ENSG00000037897	METTL1	methyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:7030]
ENSG00000037965.5	ENSG00000037965	HOXC8	homeobox C8 [Source:HGNC Symbol;Acc:HGNC:5129]
ENSG00000038002.8	ENSG00000038002	AGA	aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]
ENSG00000038210.12	ENSG00000038210	PI4K2B	phosphatidylinositol 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:18215]
ENSG00000038219.12	ENSG00000038219	BOD1L1	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]
ENSG00000038274.16	ENSG00000038274	MAT2B	methionine adenosyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:6905]
ENSG00000038295.7	ENSG00000038295	TLL1	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]
ENSG00000038358.14	ENSG00000038358	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]
ENSG00000038382.17	ENSG00000038382	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]
ENSG00000038427.15	ENSG00000038427	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]
ENSG00000038532.14	ENSG00000038532	CLEC16A	C-type lectin domain containing 16A [Source:HGNC Symbol;Acc:HGNC:29013]
ENSG00000038945.14	ENSG00000038945	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]
ENSG00000039068.18	ENSG00000039068	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]
ENSG00000039123.15	ENSG00000039123	MTREX	Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]
ENSG00000039139.9	ENSG00000039139	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]
ENSG00000039319.16	ENSG00000039319	ZFYVE16	zinc finger FYVE-type containing 16 [Source:HGNC Symbol;Acc:HGNC:20756]
ENSG00000039523.18	ENSG00000039523	RIPOR1	RHO family interacting cell polarization regulator 1 [Source:HGNC Symbol;Acc:HGNC:25836]
ENSG00000039560.13	ENSG00000039560	RAI14	retinoic acid induced 14 [Source:HGNC Symbol;Acc:HGNC:14873]
ENSG00000039650.10	ENSG00000039650	PNKP	polynucleotide kinase 3'-phosphatase [Source:HGNC Symbol;Acc:HGNC:9154]
ENSG00000040199.18	ENSG00000040199	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]
ENSG00000040275.16	ENSG00000040275	SPDL1	spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]
ENSG00000040341.17	ENSG00000040341	STAU2	staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371]
ENSG00000040487.12	ENSG00000040487	SLC66A1	solute carrier family 66 member 1 [Source:HGNC Symbol;Acc:HGNC:26001]
ENSG00000040531.14	ENSG00000040531	CTNS	cystinosin, lysosomal cystine transporter [Source:HGNC Symbol;Acc:HGNC:2518]
ENSG00000040608.13	ENSG00000040608	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]
ENSG00000040633.12	ENSG00000040633	PHF23	PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]
ENSG00000040933.15	ENSG00000040933	INPP4A	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]
ENSG00000041353.9	ENSG00000041353	RAB27B	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]
ENSG00000041357.15	ENSG00000041357	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]
ENSG00000041802.10	ENSG00000041802	LSG1	large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]
ENSG00000041880.14	ENSG00000041880	PARP3	poly(ADP-ribose) polymerase family member 3 [Source:HGNC Symbol;Acc:HGNC:273]
ENSG00000041982.15	ENSG00000041982	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]
ENSG00000041988.15	ENSG00000041988	THAP3	THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]
ENSG00000042062.11	ENSG00000042062	RIPOR3	RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]
ENSG00000042088.13	ENSG00000042088	TDP1	tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:18884]
ENSG00000042286.14	ENSG00000042286	AIFM2	apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]
ENSG00000042317.16	ENSG00000042317	SPATA7	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]
ENSG00000042429.10	ENSG00000042429	MED17	mediator complex subunit 17 [Source:HGNC Symbol;Acc:HGNC:2375]
ENSG00000042445.13	ENSG00000042445	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]
ENSG00000042493.15	ENSG00000042493	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]
ENSG00000042753.11	ENSG00000042753	AP2S1	adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]
ENSG00000042832.11	ENSG00000042832	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]
ENSG00000042980.12	ENSG00000042980	ADAM28	ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]
ENSG00000043093.13	ENSG00000043093	DCUN1D1	defective in cullin neddylation 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18184]
ENSG00000043143.20	ENSG00000043143	JADE2	jade family PHD finger 2 [Source:HGNC Symbol;Acc:HGNC:22984]
ENSG00000043462.11	ENSG00000043462	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]
ENSG00000043514.15	ENSG00000043514	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]
ENSG00000044090.8	ENSG00000044090	CUL7	cullin 7 [Source:HGNC Symbol;Acc:HGNC:21024]
ENSG00000044115.20	ENSG00000044115	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]
ENSG00000044446.11	ENSG00000044446	PHKA2	phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]
ENSG00000044459.14	ENSG00000044459	CNTLN	centlein [Source:HGNC Symbol;Acc:HGNC:23432]
ENSG00000044524.10	ENSG00000044524	EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]
ENSG00000044574.7	ENSG00000044574	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]
ENSG00000046604.12	ENSG00000046604	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]
ENSG00000046647.13	ENSG00000046647	GEMIN8	gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]
ENSG00000046651.14	ENSG00000046651	OFD1	OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]
ENSG00000046653.14	ENSG00000046653	GPM6B	glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]
ENSG00000046889.18	ENSG00000046889	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]
ENSG00000047056.14	ENSG00000047056	WDR37	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]
ENSG00000047188.15	ENSG00000047188	YTHDC2	YTH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24721]
ENSG00000047230.14	ENSG00000047230	CTPS2	CTP synthase 2 [Source:HGNC Symbol;Acc:HGNC:2520]
ENSG00000047249.16	ENSG00000047249	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]
ENSG00000047315.14	ENSG00000047315	POLR2B	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]
ENSG00000047346.12	ENSG00000047346	FAM214A	family with sequence similarity 214 member A [Source:HGNC Symbol;Acc:HGNC:25609]
ENSG00000047365.11	ENSG00000047365	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]
ENSG00000047410.13	ENSG00000047410	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]
ENSG00000047457.13	ENSG00000047457	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]
ENSG00000047578.12	ENSG00000047578	KATNIP	katanin interacting protein [Source:HGNC Symbol;Acc:HGNC:29068]
ENSG00000047579.19	ENSG00000047579	DTNBP1	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]
ENSG00000047617.14	ENSG00000047617	ANO2	anoctamin 2 [Source:HGNC Symbol;Acc:HGNC:1183]
ENSG00000047621.11	ENSG00000047621	C12orf4	chromosome 12 open reading frame 4 [Source:HGNC Symbol;Acc:HGNC:1184]
ENSG00000047634.14	ENSG00000047634	SCML1	Scm polycomb group protein like 1 [Source:HGNC Symbol;Acc:HGNC:10580]
ENSG00000047644.18	ENSG00000047644	WWC3	WWC family member 3 [Source:HGNC Symbol;Acc:HGNC:29237]
ENSG00000047648.21	ENSG00000047648	ARHGAP6	Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676]
ENSG00000047662.4	ENSG00000047662	FAM184B	family with sequence similarity 184 member B [Source:HGNC Symbol;Acc:HGNC:29235]
ENSG00000047849.21	ENSG00000047849	MAP4	microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]
ENSG00000047932.13	ENSG00000047932	GOPC	golgi associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:HGNC:17643]
ENSG00000048028.11	ENSG00000048028	USP28	ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625]
ENSG00000048052.21	ENSG00000048052	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]
ENSG00000048140.17	ENSG00000048140	TSPAN17	tetraspanin 17 [Source:HGNC Symbol;Acc:HGNC:13594]
ENSG00000048162.20	ENSG00000048162	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]
ENSG00000048342.15	ENSG00000048342	CC2D2A	coiled-coil and C2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:29253]
ENSG00000048392.11	ENSG00000048392	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]
ENSG00000048405.9	ENSG00000048405	ZNF800	zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]
ENSG00000048471.13	ENSG00000048471	SNX29	sorting nexin 29 [Source:HGNC Symbol;Acc:HGNC:30542]
ENSG00000048540.14	ENSG00000048540	LMO3	LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]
ENSG00000048544.5	ENSG00000048544	MRPS10	mitochondrial ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:14502]
ENSG00000048649.13	ENSG00000048649	RSF1	remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]
ENSG00000048707.13	ENSG00000048707	VPS13D	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]
ENSG00000048740.18	ENSG00000048740	CELF2	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]
ENSG00000048828.16	ENSG00000048828	FAM120A	family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]
ENSG00000048991.16	ENSG00000048991	R3HDM1	R3H domain containing 1 [Source:HGNC Symbol;Acc:HGNC:9757]
ENSG00000049089.13	ENSG00000049089	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]
ENSG00000049130.13	ENSG00000049130	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]
ENSG00000049167.13	ENSG00000049167	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]
ENSG00000049192.14	ENSG00000049192	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]
ENSG00000049239.12	ENSG00000049239	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]
ENSG00000049245.12	ENSG00000049245	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]
ENSG00000049246.14	ENSG00000049246	PER3	period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]
ENSG00000049247.13	ENSG00000049247	UTS2	urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]
ENSG00000049249.8	ENSG00000049249	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]
ENSG00000049283.17	ENSG00000049283	EPN3	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
ENSG00000049323.15	ENSG00000049323	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]
ENSG00000049449.8	ENSG00000049449	RCN1	reticulocalbin 1 [Source:HGNC Symbol;Acc:HGNC:9934]
ENSG00000049540.16	ENSG00000049540	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]
ENSG00000049541.10	ENSG00000049541	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]
ENSG00000049618.22	ENSG00000049618	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]
ENSG00000049656.13	ENSG00000049656	CLPTM1L	CLPTM1 like [Source:HGNC Symbol;Acc:HGNC:24308]
ENSG00000049759.17	ENSG00000049759	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]
ENSG00000049768.14	ENSG00000049768	FOXP3	forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106]
ENSG00000049769.12	ENSG00000049769	PPP1R3F	protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944]
ENSG00000049860.13	ENSG00000049860	HEXB	hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]
ENSG00000049883.14	ENSG00000049883	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]
ENSG00000050130.17	ENSG00000050130	JKAMP	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]
ENSG00000050165.17	ENSG00000050165	DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]
ENSG00000050327.14	ENSG00000050327	ARHGEF5	Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]
ENSG00000050344.8	ENSG00000050344	NFE2L3	nuclear factor, erythroid 2 like 3 [Source:HGNC Symbol;Acc:HGNC:7783]
ENSG00000050393.11	ENSG00000050393	MCUR1	mitochondrial calcium uniporter regulator 1 [Source:HGNC Symbol;Acc:HGNC:21097]
ENSG00000050405.13	ENSG00000050405	LIMA1	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ENSG00000050426.15	ENSG00000050426	LETMD1	LETM1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24241]
ENSG00000050438.16	ENSG00000050438	SLC4A8	solute carrier family 4 member 8 [Source:HGNC Symbol;Acc:HGNC:11034]
ENSG00000050555.17	ENSG00000050555	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]
ENSG00000050628.20	ENSG00000050628	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]
ENSG00000050748.17	ENSG00000050748	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]
ENSG00000050767.15	ENSG00000050767	COL23A1	collagen type XXIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22990]
ENSG00000050820.16	ENSG00000050820	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]
ENSG00000051009.10	ENSG00000051009	FAM160A2	family with sequence similarity 160 member A2 [Source:HGNC Symbol;Acc:HGNC:25378]
ENSG00000051108.14	ENSG00000051108	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]
ENSG00000051128.18	ENSG00000051128	HOMER3	homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]
ENSG00000051180.16	ENSG00000051180	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]
ENSG00000051341.13	ENSG00000051341	POLQ	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]
ENSG00000051382.8	ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]
ENSG00000051523.10	ENSG00000051523	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]
ENSG00000051596.9	ENSG00000051596	THOC3	THO complex 3 [Source:HGNC Symbol;Acc:HGNC:19072]
ENSG00000051620.10	ENSG00000051620	HEBP2	heme binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15716]
ENSG00000051825.14	ENSG00000051825	MPHOSPH9	M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215]
ENSG00000052126.14	ENSG00000052126	PLEKHA5	pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]
ENSG00000052723.11	ENSG00000052723	SIKE1	suppressor of IKBKE 1 [Source:HGNC Symbol;Acc:HGNC:26119]
ENSG00000052749.13	ENSG00000052749	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]
ENSG00000052795.12	ENSG00000052795	FNIP2	folliculin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29280]
ENSG00000052802.12	ENSG00000052802	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]
ENSG00000052841.14	ENSG00000052841	TTC17	tetratricopeptide repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:25596]
ENSG00000053254.15	ENSG00000053254	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]
ENSG00000053371.12	ENSG00000053371	AKR7A2	aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]
ENSG00000053372.4	ENSG00000053372	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]
ENSG00000053438.8	ENSG00000053438	NNAT	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]
ENSG00000053501.12	ENSG00000053501	USE1	unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882]
ENSG00000053524.11	ENSG00000053524	MCF2L2	MCF.2 cell line derived transforming sequence-like 2 [Source:HGNC Symbol;Acc:HGNC:30319]
ENSG00000053702.14	ENSG00000053702	NRIP2	nuclear receptor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23078]
ENSG00000053747.15	ENSG00000053747	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]
ENSG00000053770.11	ENSG00000053770	AP5M1	adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]
ENSG00000053900.10	ENSG00000053900	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]
ENSG00000053918.15	ENSG00000053918	KCNQ1	potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]
ENSG00000054116.11	ENSG00000054116	TRAPPC3	trafficking protein particle complex 3 [Source:HGNC Symbol;Acc:HGNC:19942]
ENSG00000054118.13	ENSG00000054118	THRAP3	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]
ENSG00000054148.17	ENSG00000054148	PHPT1	phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033]
ENSG00000054179.11	ENSG00000054179	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364]
ENSG00000054219.10	ENSG00000054219	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]
ENSG00000054267.20	ENSG00000054267	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]
ENSG00000054277.13	ENSG00000054277	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]
ENSG00000054282.15	ENSG00000054282	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]
ENSG00000054392.12	ENSG00000054392	HHAT	hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
ENSG00000054523.17	ENSG00000054523	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]
ENSG00000054598.6	ENSG00000054598	FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]
ENSG00000054611.13	ENSG00000054611	TBC1D22A	TBC1 domain family member 22A [Source:HGNC Symbol;Acc:HGNC:1309]
ENSG00000054654.15	ENSG00000054654	SYNE2	spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084]
ENSG00000054690.13	ENSG00000054690	PLEKHH1	pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]
ENSG00000054793.13	ENSG00000054793	ATP9A	ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]
ENSG00000054965.10	ENSG00000054965	FAM168A	family with sequence similarity 168 member A [Source:HGNC Symbol;Acc:HGNC:28999]
ENSG00000054967.12	ENSG00000054967	RELT	RELT TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]
ENSG00000054983.16	ENSG00000054983	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]
ENSG00000055044.10	ENSG00000055044	NOP58	NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]
ENSG00000055070.16	ENSG00000055070	SZRD1	SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]
ENSG00000055118.14	ENSG00000055118	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]
ENSG00000055130.15	ENSG00000055130	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]
ENSG00000055147.18	ENSG00000055147	FAM114A2	family with sequence similarity 114 member A2 [Source:HGNC Symbol;Acc:HGNC:1333]
ENSG00000055163.19	ENSG00000055163	CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]
ENSG00000055208.18	ENSG00000055208	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]
